season_id,team_id_home,game_id,game_date,wl_home,min,fgm_home,fga_home,fg3m_home,fg3a_home,ftm_home,fta_home,oreb_home,dreb_home,reb_home,ast_home,stl_home,blk_home,tov_home,pf_home,pts_home,plus_minus_home,team_id_away,wl_away,fgm_away,fga_away,fg3m_away,fg3a_away,ftm_away,fta_away,oreb_away,dreb_away,reb_away,ast_away,stl_away,blk_away,tov_away,pf_away,pts_away,plus_minus_away,season_type
21996,1610612747,29600012,1996-11-01,W,240,31,63,6,18,28,40,11,40,51,26,6,8,23,26,96,14,1610612756,L,32,91,3,13,15,21,15,21,36,21,11,4,12,25,82,-14,Regular Season
21996,1610612748,29600005,1996-11-01,W,240,35,78,10,21,14,19,13,27,40,26,8,4,19,25,94,13,1610612737,L,25,65,4,16,27,32,10,30,40,13,10,7,24,20,81,-13,Regular Season
21996,1610612751,29600002,1996-11-01,L,240,23,58,9,18,22,33,11,24,35,13,7,7,22,19,77,-13,1610612739,W,34,72,5,10,17,20,12,23,35,16,10,1,15,24,90,13,Regular Season
21996,1610612765,29600007,1996-11-01,W,240,32,68,6,20,25,35,11,28,39,12,10,3,19,22,95,6,1610612754,L,33,74,6,21,17,23,10,26,36,19,6,4,18,30,89,-6,Regular Season
21996,1610612744,29600013,1996-11-01,L,240,27,75,7,18,24,29,12,27,39,20,8,3,20,17,85,-12,1610612746,W,41,86,4,8,11,15,16,33,49,21,7,2,20,27,97,12,Regular Season
21996,1610612745,29600009,1996-11-01,W,240,34,87,8,25,20,31,17,28,45,25,20,1,23,19,96,11,1610612758,L,32,72,4,12,17,23,8,32,40,18,11,8,27,24,85,-11,Regular Season
21996,1610612763,29600014,1996-11-01,L,240,34,77,5,14,12,19,9,18,27,23,7,5,16,21,85,-29,1610612757,W,45,86,7,17,17,27,22,32,54,30,12,7,17,20,114,29,Regular Season
21996,1610612738,29600001,1996-11-01,L,240,38,84,8,20,14,23,14,22,36,20,10,2,18,33,98,-9,1610612741,W,42,74,1,13,22,32,8,29,37,28,7,8,19,23,107,9,Regular Season
21996,1610612761,29600006,1996-11-01,L,240,34,78,12,25,19,32,11,26,37,24,11,3,24,38,99,-8,1610612752,W,33,68,4,11,37,51,11,33,44,23,15,5,24,29,107,8,Regular Season
21996,1610612743,29600010,1996-11-01,L,240,28,78,3,8,32,43,18,29,47,13,9,10,21,21,91,-1,1610612742,W,35,88,4,18,18,26,20,33,53,21,13,7,22,30,92,1,Regular Season
21996,1610612755,29600003,1996-11-01,L,240,37,83,2,10,27,36,14,26,40,25,6,4,14,29,103,-8,1610612749,W,38,84,4,9,31,44,19,31,50,21,9,7,15,30,111,8,Regular Season
21996,1610612750,29600008,1996-11-01,W,240,31,74,3,8,17,23,9,27,36,18,6,12,18,13,82,4,1610612759,L,31,72,4,13,12,18,9,31,40,21,10,4,18,23,78,-4,Regular Season
21996,1610612762,29600011,1996-11-01,W,240,34,78,8,18,23,33,11,32,43,26,7,6,9,27,99,8,1610612760,L,30,75,5,18,26,34,12,34,46,16,6,6,12,26,91,-8,Regular Season
21996,1610612753,29600004,1996-11-01,L,240,35,91,5,23,17,20,22,26,48,17,7,3,17,22,92,-4,1610612764,W,35,74,4,13,22,30,11,26,37,25,10,10,16,24,96,4,Regular Season
21996,1610612754,29600018,1996-11-02,L,240,31,73,5,11,28,36,10,31,41,17,8,5,19,25,95,-2,1610612748,W,34,72,7,26,22,32,6,26,32,20,12,6,19,34,97,2,Regular Season
21996,1610612746,29600023,1996-11-02,L,240,31,75,6,17,22,34,9,26,35,19,8,3,12,30,90,-5,1610612762,W,33,71,2,9,27,40,14,28,42,18,7,5,13,25,95,5,Regular Season
21996,1610612737,29600017,1996-11-02,L,240,29,72,8,24,12,17,12,29,41,11,3,3,19,20,78,-12,1610612765,W,31,75,8,20,20,22,14,25,39,20,11,2,12,22,90,12,Regular Season
21996,1610612764,29600015,1996-11-02,L,265,36,82,3,8,21,39,13,31,44,19,4,8,15,24,96,-2,1610612739,W,37,85,2,14,22,26,17,35,52,13,7,2,18,33,98,2,Regular Season
21996,1610612741,29600019,1996-11-02,W,240,44,93,10,24,17,20,14,34,48,29,13,3,16,20,115,29,1610612755,L,34,89,6,13,12,22,16,31,47,18,9,5,23,20,86,-29,Regular Season
21996,1610612766,29600016,1996-11-02,W,240,39,81,7,17,24,33,18,33,51,29,3,5,17,24,109,11,1610612761,L,38,83,8,22,14,21,10,24,34,17,5,5,12,29,98,-11,Regular Season
21996,1610612742,29600021,1996-11-02,L,240,34,76,5,19,21,32,14,22,36,23,11,4,20,32,94,-13,1610612758,W,37,76,2,4,31,41,17,30,47,18,9,4,16,25,107,13,Regular Season
21996,1610612760,29600024,1996-11-02,W,240,34,77,5,15,31,37,8,22,30,26,11,6,18,25,104,11,1610612757,L,33,65,6,16,21,29,6,32,38,19,7,3,26,28,93,-11,Regular Season
21996,1610612756,29600022,1996-11-02,L,240,35,87,6,20,19,26,8,22,30,18,8,4,5,18,95,-15,1610612745,W,39,84,13,32,19,27,19,39,58,30,3,4,17,24,110,15,Regular Season
21996,1610612749,29600020,1996-11-02,W,240,44,81,6,10,30,38,13,31,44,25,7,5,12,30,124,22,1610612738,L,33,80,1,12,35,40,16,25,41,16,7,4,17,30,102,-22,Regular Season
21996,1610612752,29600025,1996-11-03,W,240,42,81,7,12,22,26,13,22,35,23,11,5,9,16,113,27,1610612766,L,35,78,11,22,5,9,14,25,39,22,4,2,25,20,86,-27,Regular Season
21996,1610612763,29600028,1996-11-03,L,240,38,90,8,22,11,16,16,28,44,30,13,8,15,25,95,-10,1610612744,W,38,79,8,19,21,27,12,36,48,21,7,5,22,14,105,10,Regular Season
21996,1610612747,29600027,1996-11-03,W,240,38,79,4,12,11,17,14,33,47,23,6,6,22,21,91,6,1610612750,L,34,82,3,13,14,18,12,25,37,23,7,6,15,24,85,-6,Regular Season
21996,1610612759,29600026,1996-11-03,L,240,24,75,6,16,25,33,15,32,47,16,9,6,20,25,79,-9,1610612743,W,32,81,4,14,20,23,12,36,48,24,9,6,17,25,88,9,Regular Season
21996,1610612762,29600029,1996-11-04,L,240,31,79,2,12,8,11,11,29,40,16,8,5,16,24,72,-3,1610612745,W,24,62,5,17,22,32,9,37,46,15,12,5,22,18,75,3,Regular Season
